Category: All categories

Region,parallel: (5/28/19 - 5/28/20)
Kansas,100
Virginia,83
California,80
Georgia,80
New Jersey,79
Indiana,79
South Carolina,78
Texas,77
Massachusetts,77
Minnesota,77
Washington,76
Michigan,75
Wisconsin,75
Oklahoma,75
Alaska,73
Connecticut,73
Rhode Island,72
Pennsylvania,72
Oregon,72
North Dakota,72
New York,72
Arizona,71
Missouri,71
Ohio,70
North Carolina,69
Arkansas,69
New Mexico,69
Maryland,69
South Dakota,69
New Hampshire,69
Illinois,68
Idaho,68
Maine,68
Alabama,68
Mississippi,68
Kentucky,67
Florida,67
Colorado,67
West Virginia,66
Delaware,66
District of Columbia,63
Utah,63
Montana,63
Vermont,62
Nevada,62
Hawaii,62
Iowa,62
Nebraska,60
Louisiana,60
Wyoming,59
Tennessee,57
