Category: All categories

Week,parallel: (United States)
2019-06-02,25
2019-06-09,23
2019-06-16,22
2019-06-23,21
2019-06-30,18
2019-07-07,20
2019-07-14,21
2019-07-21,21
2019-07-28,19
2019-08-04,19
2019-08-11,21
2019-08-18,24
2019-08-25,26
2019-09-01,27
2019-09-08,32
2019-09-15,34
2019-09-22,34
2019-09-29,36
2019-10-06,35
2019-10-13,33
2019-10-20,35
2019-10-27,35
2019-11-03,33
2019-11-10,32
2019-11-17,32
2019-11-24,21
2019-12-01,31
2019-12-08,32
2019-12-15,29
2019-12-22,13
2019-12-29,15
2020-01-05,26
2020-01-12,28
2020-01-19,29
2020-01-26,31
2020-02-02,34
2020-02-09,34
2020-02-16,34
2020-02-23,36
2020-03-01,35
2020-03-08,31
2020-03-15,24
2020-03-22,29
2020-03-29,35
2020-04-05,33
2020-04-12,34
2020-04-19,38
2020-04-26,38
2020-05-03,37
2020-05-10,35
2020-05-17,100
2020-05-24,44
